Bacillus ehimensis,Paenibacillus ehimensis
Bacillus formosus,Brevibacillus formosus
Bacillus fusiformis,Lysinibacillus fusiformis
Bacillus galactophilus,Brevibacillus agri
Bacillus gelatini,Fictibacillus gelatini
Bacillus ginsengi,Bhargavaea ginsengi
Bacillus globisporus,Sporosarcina globispora
Bacillus globisporus,Jeotgalibacillus marinus
Bacillus globisporus,Sporosarcina globispora
Bacillus glucanolyticus,Paenibacillus glucanolyticus
Bacillus gordonae,Paenibacillus validus
Bacillus haloalkaliphilus,Alkalibacillus haloalkaliphilus
Bacillus halochares,Salibacterium halochares
Bacillus halodenitrificans,Virgibacillus halodenitrificans
Bacillus halophilus,Salimicrobium halophilum
Bacillus insolitus,Psychrobacillus insolitus
Bacillus invictae,Bacillus altitudinis
Bacillus iranensis,Alteribacillus iranensis
Bacillus isronensis,Solibacillus isronensis
Bacillus kaustophilus,Geobacillus kaustophilus
Bacillus kobensis,Paenibacillus kobensis
Bacillus laevolacticus,Sporolactobacillus laevolacticus
Bacillus larvae,Paenibacillus larvae
Bacillus laterosporus,Brevibacillus laterosporus
Bacillus lautus,Paenibacillus lautus
Bacillus lentimorbus,Paenibacillus lentimorbus
Bacillus locisalis,Salisediminibacterium locisalis
Bacillus macauensis,Fictibacillus macauensis
Bacillus macerans,Paenibacillus macerans
Bacillus macquariensis,Paenibacillus macquariensis
Bacillus malacitensis,Bacillus halotolerans
Bacillus marinus,Jeotgalibacillus marinus
Bacillus marismortui,Virgibacillus marismortui
Bacillus massiliensis,Lysinibacillus massiliensis
Bacillus methylotrophicus,Bacillus velezensis
Bacillus migulanus,Aneurinibacillus migulanus
Bacillus mucilaginosus,Paenibacillus mucilaginosus
Bacillus naganoensis,Pullulanibacillus naganoensis
Bacillus nanhaiensis,Fictibacillus nanhaiensis
Bacillus neidei,Viridibacillus neidei
Bacillus neizhouensis,Salipaludibacillus neizhouensis
Bacillus odysseyi,Lysinibacillus odysseyi
Bacillus pabuli,Paenibacillus pabuli
Bacillus pallidus,Aeribacillus pallidus
Bacillus pantothenticus,Virgibacillus pantothenticus
Bacillus parabrevis,Brevibacillus parabrevis
Bacillus pasteurii,Sporosarcina pasteurii
Bacillus peoriae,Paenibacillus peoriae
Bacillus persepolensis,Alteribacillus persepolensis
Bacillus polymyxa,Paenibacillus polymyxa
Bacillus popilliae,Paenibacillus popilliae
Bacillus pseudalcalophilus,Bacillus pseudalcaliphilus
Bacillus psychrodurans,Psychrobacillus psychrodurans
Bacillus psychrophilus,Sporosarcina psychrophila
Bacillus psychrotolerans,Psychrobacillus psychrotolerans
Bacillus pulvifaciens,Paenibacillus larvae
Bacillus pycnus,Rummeliibacillus pycnus
Bacillus qingdaonensis,Salibacterium qingdaonense
Bacillus reuszeri,Brevibacillus reuszeri
Bacillus rigui,Fictibacillus rigui
Bacillus safensis,Bacillus safensis
Bacillus salexigens,Virgibacillus salexigens
Bacillus saliphilus,Alkalicoccus saliphilus
Bacillus schlegelii,Hydrogenibacillus schlegelii
Bacillus silvestris,Solibacillus silvestris
Bacillus solisalsi,Fictibacillus solisalsi
Bacillus sphaericus,Lysinibacillus sphaericus
Bacillus stearothermophilus,Geobacillus stearothermophilus
Bacillus subtilis,Bacillus subtilis
